feature,model_importance,permutation_importance_mean,permutation_importance_std
energy_consumption,0.23349476673123773,0.23879783402735608,0.02374763788710996
pressure,0.28894251887389794,0.19312442662034018,0.02446197345777608
flow_rate,0.22946750116229656,0.12706831246128159,0.01894875088675368
pump_speed,0.1417423505933941,0.10879013753767437,0.01711031943166638
compressor_state,0.02085647852394867,0.04001821476267278,0.010713501628542248
pump_state,0.021012243107170543,0.0055681159720867065,0.006446228744446183
valve_status,0.011388218424333916,0.0007499647119853181,0.0038464947745390997
temperature,0.05309592258372047,0.0006224115325802638,0.0030964084005334195
