model,features,accuracy,balanced_accuracy,failure_precision,failure_recall,f1,roc_auc,pr_auc,false_negatives,false_positives,false_positive_rate
full,pressure|flow_rate|temperature|pump_speed|energy_consumption|valve_status|pump_state|compressor_state,0.9424083769633508,0.9392014519056261,0.8852459016393442,0.9310344827586207,0.907563025210084,0.988073632356754,0.9718855219270991,4,7,0.05263157894736842
sensor_only,pressure|flow_rate|temperature|pump_speed|energy_consumption,0.9319371727748691,0.9170987814363495,0.8947368421052632,0.8793103448275862,0.8869565217391304,0.9753694581280788,0.9556442465654368,7,6,0.045112781954887216
core_process_sensors,pressure|flow_rate|temperature,0.7905759162303665,0.7135079077002853,0.7142857142857143,0.5172413793103449,0.6,0.7518796992481203,0.7257504440649324,28,12,0.09022556390977443
