model,accuracy,balanced_accuracy,failure_precision,failure_recall,f1,roc_auc,pr_auc,false_negatives,false_positives,false_positive_rate
random_forest,0.9424083769633508,0.9392014519056261,0.8852459016393442,0.9310344827586207,0.907563025210084,0.988073632356754,0.9718855219270991,4,7,0.05263157894736842
logistic_regression,0.806282722513089,0.7879828882551205,0.6615384615384615,0.7413793103448276,0.6991869918699187,0.8426238008815141,0.8138087233964499,15,22,0.16541353383458646
dummy,0.6963350785340314,0.5,0.0,0.0,0.0,0.5,0.3036649214659686,58,0,0.0
