feature,model_importance,permutation_importance_mean,permutation_importance_std
pressure,0.37532879227580823,0.4198959952974356,0.05822617652027752
flow_rate,0.3846515776649787,0.3083316427404149,0.06302391232060164
pump_speed,0.06904121841530439,0.027281098978052826,0.017032109214779156
energy_consumption,0.09658982079835034,0.009780179935502587,0.016626140615917655
compressor_state,0.011127518835509349,0.0066764705882353835,0.011603803858274659
temperature,0.0355184089674434,0.0,0.0
pump_state,0.012227107603056137,0.0,0.0
valve_status,0.015515555439549278,-0.01866666666666663,0.01222020185321555
