fold,train_rows,validation_rows,train_segments,validation_segments,macro_f1,balanced_accuracy,macro_recall,weakest_class_recall,blockage_recall,degradation_recall,leak_recall,surge_recall
1,198,50,33,8,0.982281284606866,0.9886363636363636,0.9886363636363636,0.9545454545454546,1.0,0.9545454545454546,1.0,1.0
2,198,50,31,10,0.9489692218350754,0.9659090909090909,0.9659090909090909,0.8636363636363636,1.0,0.8636363636363636,1.0,1.0
3,198,50,33,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,201,47,34,7,0.9623205741626794,0.9636363636363636,0.9636363636363636,0.9,1.0,0.9545454545454546,0.9,1.0
5,197,51,33,8,0.9648268398268398,0.9659090909090909,0.9659090909090909,0.9090909090909091,1.0,0.9545454545454546,0.9090909090909091,1.0
